"page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","takeout_rate","creditcard_rate","rate","numberrate","reservation_rate","delivery_rate","yelp_rating"
2,"Muqueca Restaurant","Latin American","1008 Cambridge Street Cambridge, MA 02141",214,214,61,25,17,"Closed","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","12:00 pm - 9:30 pm",0,0,0,0,0,1,1,4.09792843691149,531,1,1,4
2,"The Table At Season To Taste","Modern American","2447 Massachusetts Ave Cambridge, MA 02140",44,3,0,0,0,"Closed","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","Closed",0,0,0,1,0,0,1,4.93617021276596,47,1,0,5
2,"Kimchi Kitchen","Korean","847 Cambridge St Cambridge, MA 02141",54,28,8,2,0,"Closed","11:30 am - 9:00 pm","11:30 am - 9:00 pm","11:30 am - 9:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 9:00 pm",0,0,0,0,0,1,1,4.45652173913043,92,0,1,4.5
2,"Hokkaido Ramen Santouka","Ramen","1 Bow St Cambridge, MA 02138",146,173,87,25,8,"11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 9:00 pm",0,0,0,0,0,0,1,3.96583143507973,439,0,0,4
2,"AtwoodÍs Tavern","Bars","877 Cambridge St Cambridge, MA 02141",149,116,36,15,6,"3:30 pm - 1:00 am","3:30 pm - 1:00 am","3:30 pm - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 1:00 am",1,0,0,1,1,1,1,4.20186335403727,322,0,0,4
2,"East Side Bar & Grille","Italian","561 Cambridge St Cambridge, MA 02141",150,64,15,13,8,"Closed","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","4:00 pm - 9:00 pm",0,1,0,1,0,1,1,4.34,250,1,0,4.5
2,"Park Restaurant & Bar","Modern American","59 JFK St Cambridge, MA 02138",149,186,67,39,5,"5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","10:00 am - 2:00 am","10:00 am - 1:00 am",1,0,0,1,1,1,1,3.97533632286996,446,1,0,4
2,"The Boathouse","American (New)","49 Mt Auburn St Cambridge, MA 02138",46,61,16,9,1,"5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am",1,1,0,1,0,1,1,4.06766917293233,133,1,0,4
2,"Toscano","Italian","52 Brattle St Cambridge, MA 02138",99,65,39,14,11,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm",0,1,0,1,0,1,1,3.99561403508772,228,1,0,4
2,"Basta Pasta Trattoria","Italian","319 Western Ave Cambridge, MA 02139",131,151,42,16,13,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","3:00 pm - 10:00 pm",0,1,0,0,0,1,1,4.05099150141643,353,0,0,4
3,"Cuchi Cuchi","Tapas/Small Plates","795 Main St Cambridge, MA 02139",383,299,106,42,30,"5:30 pm - 1:00 am","5:30 pm - 1:00 am","5:30 pm - 1:00 am","5:30 pm - 1:00 am","5:30 pm - 1:00 am","29","",0,0,1,1,0,0,1,4.11976744186047,860,1,0,4
3,"Orinoco","Venezuelan","56 John F Kennedy St Cambridge, MA 02138",63,75,32,12,11,"Closed","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 11:00 pm","12:00 pm - 2:30 pm 5:30 pm - 11:00 pm","11:30 am - 3:00 pm 5:30 pm - 9:00 pm",0,0,0,1,1,1,1,3.86528497409326,193,0,0,4
3,"Green Street","Bar","280 Green St Cambridge, MA 02139",188,256,101,46,15,"5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am",0,0,0,1,0,0,1,3.91749174917492,606,1,0,4
3,"Bondir Cambridge","French","279A Broadway Cambridge, MA 02139",117,53,36,31,9,"5:00 pm - 10:00 pm","Closed","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm",0,0,0,1,0,1,1,3.96747967479675,246,1,0,4
3,"The Plough & Stars","Music Venues","912 Massachusetts Ave Cambridge, MA 02139",79,130,39,16,7,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","10:00 am - 2:00 am","10:00 am - 1:00 am",1,1,0,1,0,1,1,3.9520295202952,271,0,0,4
3,"River Gods","Pub","125 River St Cambridge, MA 02139",109,176,53,11,7,"3:00 pm - 12:00 am","3:00 pm - 1:00 am","3:00 pm - 1:00 am","3:00 pm - 1:00 am","3:00 pm - 1:00 am","3:00 pm - 1:00 am","Closed",0,0,0,1,0,1,1,4.03651685393258,356,0,0,4
3,"Puritan & Company","American (New)","Inman Square 1166 Cambridge St Cambridge, MA 02139",112,99,32,25,8,"5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","5:30 pm - 12:00 am","5:30 pm - 12:00 am","10:30 am - 2:00 pm 5:30 pm - 11:00 pm",0,0,0,1,0,0,1,4.02173913043478,276,1,0,4
3,"The Cellar","American (New)","991 Massachusetts Ave Cambridge, MA 02138",74,104,36,18,4,"11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm","11:30 am - 2:30 pm 5:00 pm - 11:00 pm",1,1,0,1,0,1,0,3.95762711864407,236,0,0,4
3,"Lone Star Taco Bar","Mexican","635 Cambridge St Cambridge, MA 02141",51,22,7,4,4,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","10:00 am - 1:00 am","10:00 am - 1:00 am",0,1,1,1,0,1,1,4.27272727272727,88,0,0,4.5
3,"Clover","Coffee & Tea","1326 Massachusetts Avenue Cambridge, MA 02138",159,231,100,55,16,"7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","9:00 am - 10:00 pm",1,0,0,0,0,1,1,3.82352941176471,561,0,0,4
4,"Olecito","Mexican","12 Springfield St Cambridge, MA 02139",102,146,46,23,12,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm",0,0,0,0,0,1,0,3.9209726443769,329,0,0,4
4,"City Girl Caf_","Italian","204 Hampshire St Cambridge, MA 02139",159,123,36,15,8,"Closed","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","10:00 am - 3:00 pm 5:00 pm - 10:00 pm","10:00 am - 3:00 pm 5:00 pm - 10:00 pm",0,0,0,1,0,1,1,4.20234604105572,341,0,0,4
4,"Punjabi Dhaba","Indian","225 Hampshire St Cambridge, MA 02139",206,256,93,48,37,"12:00 pm - 11:30 pm","12:00 pm - 11:30 pm","12:00 pm - 11:30 pm","12:00 pm - 11:30 pm","12:00 pm - 11:30 pm","12:00 pm - 11:30 pm","12:00 pm - 11:30 pm",0,1,1,0,0,1,0,3.853125,640,0,0,4
4,"Area Four","Pizza","500 Technology Sq Cambridge, MA 02139",179,235,88,35,19,"7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 10:00 pm",1,1,0,1,1,1,1,3.93525179856115,556,1,0,4
4,"Rangzen Tibetan Restaurant","Himalayan/Nepalese","24 Pearl St Cambridge, MA 02139",94,131,61,24,1,"11:30 am - 3:00 pm 5:30 pm - 10:00 pm","11:30 am - 3:00 pm 5:30 pm - 10:00 pm","11:30 am - 3:00 pm 5:30 pm - 10:00 pm","11:30 am - 3:00 pm 5:30 pm - 10:00 pm","11:30 am - 3:00 pm 5:30 pm - 10:00 pm","11:30 am - 3:00 pm 5:30 pm - 10:00 pm","Closed",0,0,0,1,0,1,1,3.94212218649518,311,0,1,4
4,"The Village Kitchen","Italian","359 Huron Ave Cambridge, MA 02138",54,34,4,6,0,"9:30 am - 10:00 pm","9:30 am - 10:00 pm","9:30 am - 10:00 pm","9:30 am - 10:00 pm","9:30 am - 10:00 pm","9:30 am - 10:00 pm","10:00 am - 9:00 pm",0,0,0,0,0,0,0,4.38775510204082,98,0,1,4.5
4,"Clover","Vegetarian","5 Cambridge Ctr Cambridge, MA 02142",70,43,16,7,1,"7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","9:00 am - 8:00 pm",1,0,0,1,0,1,1,4.27007299270073,137,0,0,4.5
4,"Rod Dee Thai Cuisine","Thai","1906 Massachusetts Ave Cambridge, MA 02140",114,89,28,18,15,"11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","12:00 pm - 10:30 pm",0,1,0,0,0,1,0,4.01893939393939,264,0,1,4
4,"McCabeÍs on Mass","American (New)","2046 Massachusetts Ave Cambridge, MA 02140",56,30,7,7,4,"Closed","4:00 pm - 1:00 am","4:00 pm - 1:00 am","4:00 pm - 1:00 am","4:00 pm - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am",1,1,0,1,0,1,1,4.22115384615385,104,0,0,4
4,"Cambridge Common","Traditional American","1667 Massachusetts Ave Cambridge, MA 02138",122,255,128,28,13,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","10:30 am - 1:00 am",0,1,0,1,1,1,1,3.81501831501832,546,1,0,4
5,"Life Alive","Vegetarian","765 Mass Ave Cambridge, MA 02139",528,308,74,37,33,"8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","11:00 am - 9:00 pm",1,0,0,1,0,1,1,4.28673469387755,980,0,0,4.5
5,"Kolbeh of Kabob","Middle Eastern","1500 Cambridge St Cambridge, MA 02139",58,67,28,13,10,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm",0,0,0,0,0,1,1,3.85227272727273,176,1,0,4
5,"Craigie On Main","American (New)","853 Main St Cambridge, MA 02139",592,225,110,74,30,"Closed","5:30 pm - 12:00 am","5:30 pm - 12:00 am","5:30 pm - 12:00 am","5:30 pm - 12:00 am","5:30 pm - 12:00 am","5:30 pm - 12:00 am",0,0,0,1,0,0,1,4.23666343355965,1031,1,0,4
5,"Brookline Lunch","Diners","9 Brookline St Cambridge, MA 02139",112,116,37,26,20,"8:30 am - 3:30 pm","Closed","8:30 am - 3:30 pm","8:30 am - 3:30 pm","8:30 am - 3:30 pm","8:30 am - 3:30 pm","8:30 am - 3:30 pm",1,1,0,0,0,1,0,3.88102893890675,311,0,0,4
5,"The Abbey","Modern American","1755 Massachusetts Ave Cambridge, MA 02140",41,45,13,8,5,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am",1,1,0,1,1,1,1,3.97321428571429,112,0,0,4
5,"Cafe Sushi","Sushi Bars","1105 Massachusetts Ave Cambridge, MA 02138",152,125,60,27,17,"12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:00 pm","12:00 pm - 2:30 pm 5:30 pm - 10:30 pm","12:00 pm - 2:30 pm 5:30 pm - 10:30 pm","5:30 pm - 10:00 pm",1,0,0,1,0,1,1,3.96587926509186,381,1,0,4
5,"Cambridge, 1.","Pizza","27 Church St Cambridge, MA 02138",100,176,80,40,11,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 12:00 am",0,1,0,1,0,1,1,3.77149877149877,407,0,0,4
5,"Court House Seafood Restaurant","Seafood Markets","498 Cambridge St Cambridge, MA 02141",67,55,17,12,2,"Closed","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 8:00 pm","11:00 am - 6:00 pm","Closed",0,0,0,0,0,1,1,4.13071895424837,153,0,0,4
5,"Central Kitchen","American (New)","567 Massachusetts Ave Cambridge, MA 02139",76,160,61,38,7,"5:30 pm - 1:00 am","5:30 pm - 1:00 am","5:30 pm - 1:00 am","5:30 pm - 2:00 am","5:30 pm - 2:00 am","5:30 pm - 2:00 am","5:30 pm - 1:00 am",1,0,0,1,0,0,1,3.76023391812865,342,1,0,4
5,"Shanghai Fresh","Shanghainese","735 Massachusetts Ave Cambridge, MA 02139",26,15,7,1,5,"11:30 am - 3:00 pm 5:15 pm - 10:00 pm","Closed","11:30 am - 3:00 pm 5:15 pm - 10:00 pm","11:30 am - 3:00 pm 5:15 pm - 10:00 pm","11:30 am - 3:00 pm 5:15 pm - 11:00 pm","11:30 am - 3:00 pm 5:15 pm - 11:00 pm","11:30 am - 3:00 pm 5:15 pm - 10:00 pm",0,0,0,1,0,1,1,4.03703703703704,54,1,0,4
6,"Helmand Restaurant","Afghan","143 1st St Cambridge, MA 02142",302,265,64,38,18,"5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 10:00 pm",0,0,0,1,0,1,1,4.15720524017467,687,1,0,4
6,"ChutneyÍs","Indian","36 John F Kennedy St Cambridge, MA 02138",59,91,40,16,12,"10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","11:00 am - 11:00 pm",0,1,0,0,0,1,1,3.77522935779817,218,0,0,4
6,"Cambridge Deli & Grill","Delis","90 River St Cambridge, MA 02139",21,9,2,3,0,"11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","Closed","Closed",0,1,0,0,1,1,1,4.37142857142857,35,0,0,4.5
6,"Viale","Modern American","502 Massachusetts Ave Cambridge, MA 02139",40,41,19,7,2,"5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","10:30 am - 2:30 pm 5:00 pm - 12:00 am",0,1,0,1,0,0,1,4.00917431192661,109,1,0,4
6,"DarwinÍs Ltd","Delis","148 Mt Auburn St Cambridge, MA 02138",107,178,58,23,17,"6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","7:00 am - 9:00 pm",1,0,0,1,0,1,1,3.87467362924282,383,0,0,4
6,"The Field","Pub","20 Prospect St Central Square Cambridge, MA 02139",57,138,75,16,7,"12:00 pm - 1:00 am","12:00 pm - 1:00 am","12:00 pm - 1:00 am","12:00 pm - 2:00 am","12:00 pm - 2:00 am","12:00 pm - 2:00 am","12:00 pm - 1:00 am",0,0,0,1,1,0,0,3.75767918088737,293,0,0,4
6,"Flour Bakery + Caf_","Coffee & Tea","190 Massachusetts Ave Cambridge, MA 02139",258,270,69,21,12,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","8:00 am - 6:00 pm","9:00 am - 5:00 pm",1,0,0,0,1,1,1,4.17619047619048,630,0,0,4
6,"Newtowne Variety","Sandwiches","93 Windsor St Cambridge, MA 02139",31,14,2,0,2,"7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 2:00 pm","Closed",0,0,0,0,0,1,1,4.46938775510204,49,0,0,4.5
6,"BISq","American (New)","1071 Cambridge St Cambridge, MA 02139",29,21,12,2,3,"5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:30 pm","5:30 pm - 10:30 pm","11:00 am - 2:30 pm 5:30 pm - 10:00 pm",0,0,0,1,0,0,1,4.05970149253731,67,1,0,4
6,"Bon Me","Vietnamese","1 Kendall Sq Cambridge, MA 02139",34,57,18,9,6,"11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm",0,0,0,0,1,1,1,3.83870967741935,124,0,0,4
7,"State Park","Modern American","1 Kendall Sq Bldg 300, Lower Level Cambridge, MA 02139",58,62,27,10,11,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","10:30 am - 2:00 am","10:30 am - 1:00 am",1,1,1,1,1,1,1,3.86904761904762,168,0,0,4
7,"Tampopo","Japanese","1815 Massachusetts Ave Cambridge, MA 02140",41,56,26,9,3,"12:00 pm - 9:00 pm","12:00 pm - 9:00 pm","12:00 pm - 9:00 pm","12:00 pm - 9:00 pm","12:00 pm - 9:00 pm","12:00 pm - 9:00 pm","12:00 pm - 9:00 pm",0,0,0,0,0,1,0,3.91111111111111,135,0,0,4
7,"Dumpling House","Chinese","950 Massachusetts Ave Cambridge, MA 02139",82,79,44,33,21,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,1,0,1,1,3.64864864864865,259,1,1,3.5
7,"Baraka Caf_","African","80 1/2 Pearl St Cambridge, MA 02139",81,117,43,19,23,"Closed","12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","5:30 pm - 10:00 pm",0,0,0,0,0,1,0,3.75618374558304,283,1,0,4
7,"All Star Sandwich Bar","Sandwiches","1245 Cambridge St Cambridge, MA 02139",185,211,93,38,5,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 8:00 pm",0,1,0,1,0,1,1,4.00187969924812,532,0,0,4
7,"IzzyÍs Restaurant & Sub Shop","American (Traditional)","169 Harvard St Cambridge, MA 02139",42,42,9,3,2,"10:00 am - 8:30 pm","10:00 am - 8:30 pm","10:00 am - 8:30 pm","10:00 am - 8:30 pm","10:00 am - 8:30 pm","10:00 am - 8:00 pm","Closed",0,1,0,0,0,1,1,4.21428571428571,98,0,0,4
7,"Yume Wo Katare","Ramen","1923 Massachusetts Ave Cambridge, MA 02140",168,150,85,45,33,"Closed","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","12:00 pm - 2:00 pm 5:00 pm - 10:00 pm","Closed",0,0,0,0,0,0,0,3.77962577962578,481,0,0,4
7,"LÍImpasto","Italian","2263 Massachusetts Ave Cambridge, MA 02140",79,45,17,6,7,"Closed","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 9:00 pm",0,0,0,1,1,1,1,4.18831168831169,154,1,0,4
7,"Study","Modern American","73 Ames St Cambridge, MA 02142",32,7,9,2,1,"Closed","11:30 am - 2:00 pm","11:30 am - 2:00 pm","11:30 am - 2:00 pm 5:30 pm - 10:00 pm","11:30 am - 2:00 pm 5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","Closed",0,0,0,1,0,0,1,4.31372549019608,51,1,0,4.5
7,"FelipeÍs Taqueria","Mexican","21 Brattle St Cambridge, MA 02138",60,56,30,28,9,"11:00 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 12:00 am",0,0,0,1,1,1,1,3.7103825136612,183,0,0,3.5
8,"Clover","Coffee & Tea","1075 Cambridge St Cambridge, MA 02141",35,37,12,4,5,"7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","9:00 am - 8:00 pm",1,0,0,1,0,1,1,4,93,0,0,4
8,"The Friendly Toast","Breakfast & Brunch","1 Kendall Sq Bldg 300 Cambridge, MA 02139",319,535,299,158,87,"8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 10:00 pm",0,0,0,1,1,1,1,3.60157367668097,1398,0,0,3.5
8,"House of Chang","Chinese","282 Concord Ave Cambridge, MA 02138",105,69,12,13,22,"Closed","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm",0,0,0,0,0,1,1,4.00452488687783,221,1,1,4
8,"Tahaza Hummus Kitchen","Mediterranean","1 Canal Park Cambridge, MA 02141",22,14,3,2,1,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","Closed",1,0,0,0,0,1,1,4.28571428571429,42,0,1,4.5
8,"Ames Street Deli","Bakeries","73 Ames St Cambridge, MA 02142",44,25,11,4,3,"7:00 am - 12:30 am","7:00 am - 12:30 am","7:00 am - 12:30 am","7:00 am - 12:30 am","7:00 am - 12:30 am","9:00 am - 12:30 am","Closed",1,1,0,1,0,1,1,4.18390804597701,87,0,1,4
